autostrada,progressiva_km,nome,codice
A01,7.7,Melegnano,37
A01,8.9,Milano Sud,1
A01,22.3,Lodi,2
A01,37.8,Casalpusterlengo,3
A01,49.7,Basso Lodigiano,4
A01,74.0,Fiorenzuola,6
A01,90.4,Fidenza,7
A01,110.4,Parma,8
A01,124.4,Terre di canossa - Campegine,91
A01,137.1,Reggio Emilia,9
A01,157.6,Modena Nord,10
A01,170.8,Modena Sud,11
A01,184.789,Valsamoggia,96
A01,199.89,Sasso Marconi Nord,70
A01,209.8,Sasso Marconi,14
A01,222.7,Rioveggio,15
A01,237.2,Pian del Voglio,16
A01,242.3,Roncobilaccio,17
A01,261.5,Barberino di Mugello,18
A01,278.1,Calenzano-Sesto Fiorentino,19
A01,279.9,Firenze Nord,20
A01,286.9,Firenze Scandicci,21
A01,289.7,Villa Costanza,97
A01,295.5,Firenze Impruneta,22
A01,300.9,Firenze Sud,23
A01,319.9,Incisa - Reggello,24
A01,335.8,Valdarno,25
A01,358.5,Arezzo,26
A01,371.6,Monte San Savino,27
A01,385.4,Valdichiana,28
A01,409.9,Chiusi-Chianciano Terme,29
A01,427.8,Fabro,30
A01,451.4,Orvieto,31
A01,479.5,Attigliano,32
A01,491.3,Orte,33
A01,500.9,Magliano Sabina,34
A01,516.0,Ponzano Romano-Soratte,90
A01,555.469,Guidonia Montecelio,93
A01,586.9,Valmontone,705
A01,592.9,Colleferro,706
A01,603.9,Anagni-Fiuggi,707
A01,618.2,Ferentino,786
A01,624.2,Frosinone,708
A01,642.0,Ceprano,709
A01,658.3,Pontecorvo,710
A01,669.6,Cassino,711
A01,678.6,San Vittore,712
A01,700.8,Caianello,713
A01,719.8,Capua,714
A01,728.6,Santa Maria Capua Vetere,776
A01,733.7,Caserta Nord,715
A01,739.7,Napoli Nord,779
A01,740.6,Caserta Sud,716
A01,3.6,Roma Nord,36
A01,4.0,Fiano Romano,35
A01,9.5,Castelnuovo di Porto,92
A01,5.0,San Cesareo,704
A01,10.2,Monteporzio,703
A01,14.9,Roma sud,702
A01,739.7,Caserta Centro,778
A01,58.2,Piacenza Sud,5
A01,17.425,Badia,94
A01,28.087,Firenzuola,95
A01,261.5,Barberino di Mugello,18
A03,4.7,Ponticelli,17
A03,4.8,Napoli Sud,1
A03,8.1,Portici,4
A03,12.5,Torre del Greco,5
A03,17.5,Torre Annunziata Nord,15
A03,19.7,Torre Annunziata Sud,6
A03,21.9,Pompei,7
A03,22.6,Castellammare di Stabia,8
A03,25.0,Scafati,9
A03,29.8,Angri,10
A03,31.83,Angri Sud,18
A03,36.7,Nocera Sud,16
A03,36.8,Nocera Nord,11
A03,42.8,Cava de' Tirreni,12
A04,24.3,Torino Rondissone,420
A04,36.8,Borgo d'Ale,426
A04,45.2,Santhia`,429
A04,54.4,Carisio,430
A04,60.0,Balocco,432
A04,67.5,Greggio,433
A04,73.6,Biandrate-Vicolungo,434
